Epoch,Train Loss,Test Loss,Train MSE,Test MSE,Train R2,Test R2
1,0.25429239869117737,0.15388855,0.2542924,0.15388855,-4.482028007507324,-30.029064178466797
2,0.06075494363903999,0.23730147,0.060754944,0.23730147,-0.24282987415790558,-33.90886688232422
3,0.4586411714553833,0.12924783,0.45864135,0.12924783,-9.716207504272461,-13.996197700500488
4,0.08395732939243317,0.28417885,0.083957314,0.28417885,-0.6868369579315186,-49.01979446411133
5,0.11174546182155609,0.26292327,0.11174548,0.26292327,-1.365234375,-47.460845947265625
6,0.09755554795265198,0.20625265,0.09755556,0.20625265,-1.086814522743225,-38.1998405456543
7,0.07877198606729507,0.12848204,0.07877199,0.12848204,-0.6919505596160889,-27.64044189453125
8,0.05825440213084221,0.06894262,0.058254402,0.06894262,-0.16007395088672638,-13.14167594909668
9,0.05304926261305809,0.06775136,0.05304926,0.06775136,-0.12862937152385712,-5.456589698791504
10,0.06103548780083656,0.10605004,0.061035495,0.10605004,-0.161988765001297,-12.8895902633667
11,0.05209845304489136,0.085334875,0.052098453,0.085334875,-0.08305229246616364,-10.487615585327148
12,0.033534787595272064,0.08204889,0.03353479,0.08204889,0.3296278119087219,-9.919203758239746
13,0.025255098938941956,0.060058802,0.025255095,0.060058802,0.4593435823917389,-7.155821323394775
14,0.026730040088295937,0.07484643,0.026730036,0.07484643,0.3960596024990082,-6.273192882537842
15,0.0391278937458992,0.038573265,0.039127897,0.038573265,0.14529450237751007,-2.1465184688568115
16,0.0581551119685173,0.03240649,0.05815511,0.03240649,-0.16703703999519348,-1.0199490785598755
17,0.027684731408953667,0.058870923,0.027684733,0.058870923,0.3369489312171936,-4.764339923858643
18,0.03571285307407379,0.10909142,0.03571286,0.10909142,0.24217872321605682,-12.697307586669922
19,0.03637216240167618,0.12381917,0.03637216,0.12381917,0.20781616866588593,-16.743717193603516
20,0.038675714284181595,0.12393029,0.038675707,0.12393029,0.042708635330200195,-19.523012161254883
21,0.038374852389097214,0.10793078,0.03837485,0.10793078,0.09503455460071564,-18.691097259521484
22,0.030832692980766296,0.08695842,0.03083269,0.08695842,0.3549346625804901,-15.469830513000488
