Learning Rate,L2 Penalty,Optimizer,Momentum,Mini_batch,Model,Accuracy
1.333521432163324e-07,0.8,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.7192982456140351
1.333521432163324e-07,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.42543859649122806
5.6234132519034905e-08,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
5.6234132519034905e-08,0.2,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
5.6234132519034905e-08,0.30000000000000004,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.45614035087719296
5.6234132519034905e-08,0.4,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
5.6234132519034905e-08,0.5,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.35526315789473684
5.6234132519034905e-08,0.6,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.4342105263157895
5.6234132519034905e-08,0.7000000000000001,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.44298245614035087
5.6234132519034905e-08,0.8,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.35964912280701755
5.6234132519034905e-08,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
2.371373705661655e-08,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
2.371373705661655e-08,0.2,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
2.371373705661655e-08,0.30000000000000004,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
2.371373705661655e-08,0.4,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.35526315789473684
2.371373705661655e-08,0.5,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3684210526315789
2.371373705661655e-08,0.6,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
2.371373705661655e-08,0.7000000000000001,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
2.371373705661655e-08,0.8,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
2.371373705661655e-08,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
1e-08,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3991228070175439
1e-08,0.2,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3157894736842105
1e-08,0.30000000000000004,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
1e-08,0.4,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
1e-08,0.5,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3684210526315789
1e-08,0.6,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
1e-08,0.7000000000000001,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
1e-08,0.8,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.3508771929824561
1e-08,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.34210526315789475
