Learning Rate,L2 Penalty,Optimizer,Model,Activation_function,epochs,Loss,Epoch
0.01,0.8,SGD,Neural_Network,relu,,1.2666935920715332,77.0
0.01,0.8,SGD,Neural_Network,relu,,1.2662593126296997,78.0
0.01,0.8,SGD,Neural_Network,relu,,1.2659809589385986,79.0
0.01,0.8,SGD,Neural_Network,relu,,1.2657426595687866,80.0
0.01,0.8,SGD,Neural_Network,relu,,1.265966534614563,81.0
0.01,0.8,SGD,Neural_Network,relu,,1.2654274702072144,82.0
0.01,0.8,SGD,Neural_Network,relu,,1.265235185623169,83.0
0.01,0.8,SGD,Neural_Network,relu,,1.2651886940002441,84.0
0.01,0.8,SGD,Neural_Network,relu,,1.2649030685424805,85.0
0.01,0.8,SGD,Neural_Network,relu,,1.264965295791626,86.0
0.01,0.8,SGD,Neural_Network,relu,,1.2649835348129272,87.0
0.01,0.8,SGD,Neural_Network,relu,,1.2644085884094238,88.0
0.01,0.8,SGD,Neural_Network,relu,,1.2645238637924194,89.0
0.01,0.8,SGD,Neural_Network,relu,,1.2643647193908691,90.0
0.01,0.8,SGD,Neural_Network,relu,,1.2640577554702759,91.0
0.01,0.8,SGD,Neural_Network,relu,,1.264043927192688,92.0
0.01,0.8,SGD,Neural_Network,relu,,1.2638282775878906,93.0
0.01,0.8,SGD,Neural_Network,relu,,1.2637546062469482,94.0
0.01,0.8,SGD,Neural_Network,relu,,1.2634750604629517,95.0
0.01,0.8,SGD,Neural_Network,relu,,1.2633720636367798,96.0
0.01,0.8,SGD,Neural_Network,relu,,1.2630658149719238,97.0
0.01,0.8,SGD,Neural_Network,relu,,1.2629101276397705,98.0
0.01,0.8,SGD,Neural_Network,relu,,1.2629132270812988,99.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,3.9441864490509033,0.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,2.454874038696289,1.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,2.091754674911499,2.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.940507411956787,3.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.8413118124008179,4.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.7638628482818604,5.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.7012228965759277,6.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.6596521139144897,7.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.6085091829299927,8.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.5695858001708984,9.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.5373706817626953,10.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.5121395587921143,11.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.4814069271087646,12.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.4606809616088867,13.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.441404938697815,14.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.4241939783096313,15.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.409452199935913,16.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3969494104385376,17.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3844717741012573,18.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3746726512908936,19.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3643205165863037,20.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3552557229995728,21.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.347967267036438,22.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3427021503448486,23.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3349864482879639,24.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3293721675872803,25.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3250385522842407,26.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3201521635055542,27.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3150643110275269,28.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3125427961349487,29.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.30762779712677,30.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.3044683933258057,31.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.301363468170166,32.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2988476753234863,33.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.296414852142334,34.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2936501502990723,35.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2917667627334595,36.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.291204810142517,37.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2887938022613525,38.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2869594097137451,39.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2858093976974487,40.0
