Learning Rate,L2 Penalty,Optimizer,Model,Momentum,Mini_batch,Accuracy
7.498942093324558e-07,0.9,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.6491228070175439
1.7782794100389227e-07,0.1,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.21052631578947367
1.7782794100389227e-07,0.2,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.6666666666666666
1.7782794100389227e-07,0.30000000000000004,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.4298245614035088
1.7782794100389227e-07,0.4,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.12719298245614036
1.7782794100389227e-07,0.5,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.3508771929824561
1.7782794100389227e-07,0.6,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.18859649122807018
1.7782794100389227e-07,0.7000000000000001,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.22807017543859648
1.7782794100389227e-07,0.8,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.8421052631578947
1.7782794100389227e-07,0.9,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.6622807017543859
4.2169650342858225e-08,0.1,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.7719298245614035
4.2169650342858225e-08,0.2,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.40350877192982454
4.2169650342858225e-08,0.30000000000000004,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.8947368421052632
4.2169650342858225e-08,0.4,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.8991228070175439
4.2169650342858225e-08,0.5,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.23684210526315788
4.2169650342858225e-08,0.6,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.7105263157894737
4.2169650342858225e-08,0.7000000000000001,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.8947368421052632
4.2169650342858225e-08,0.8,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.6754385964912281
4.2169650342858225e-08,0.9,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.4956140350877193
1e-08,0.1,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.6578947368421053
1e-08,0.2,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.4342105263157895
1e-08,0.30000000000000004,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.2412280701754386
1e-08,0.4,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.6578947368421053
1e-08,0.5,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.5570175438596491
1e-08,0.6,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.17543859649122806
1e-08,0.7000000000000001,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.6403508771929824
1e-08,0.8,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.7763157894736842
1e-08,0.9,SGD,Neural_Network,Momentum: False,Mini-Batch: True,0.47368421052631576
